Gender,Favorite food names,Expected food price of that favorite food,Month cost for that particular food,Favorite food in summer/winter/rainy season,Food flavor,Favourite food in rainy season
,,,,,Sweet,
Male,"Pasta, Pizza, Kacchi, Chinese, Traditional, Rice Bowl",400,1000,Khacchi,Spicy,"Pasta, Pizza"
Male,Burger,200,600,Winter,Sweet,Mango
Female,Kacchi Biriyani,150 BDT,150 BDT,Kacchi Biriyani,Spicy,Khicuri with Hilsha Fry
Male,Kacci,200,400,,Sweet,nothing special
Male,"Chinese, Pizza, Pasta, Noodles, Polao, Roast",1500,3000,"cold coffee, pasta, soup, khicuri",Sweet,"Khicuri, Pasta, Pizza, Polao"
Female,chinese,300,900,pizza/biriyani/khichuri,Spicy,Khichuri
Female,"Pizza, Chines food, Indian food, Burger, Pasta",300,300,every season,Sweet,coffee
Female,"Icecream,Pasta,Chinese",200,600,Juice/Coffee/Khichuri,Sweet,Khichuri
Female,"Pasta, Pizza, Kacchi, Chinese",300,300,pasta/Kacchi/Khichuri,Spicy,Khichuri
Male,"Burger, Pizza, Kacchi Biriyani",500,2000,Cold Beverage/Coffee/Khichuri,Spicy,Khichuri
Male,Kacchi,180,720,Halim,Spicy,khichuri
Male,Burger,300,600,Burger,Spicy,Burger
Male,Kacchi Biriyani,200 tk,600,Basmoti Kacchi,Spicy,Beef khicuri
Male,soup and onthon,300,600,soup and onthon,Spicy,soup and onthon
Male,"Kacchi, Mutton",300,2000,Bhuna khichuri,Spicy,Khichuri
Male,Grilled Chicken,90,200,winter,Spicy,Spicy Muri
Male,Kacchi,200,,Bhuna Khichuri,Spicy,Bhuna Khichuri
Male,kacchi,200,500,Kacchi,Spicy,kacchi
Female,Pasta,300,1000,Tea,Spicy,Khichuri
Male,Not anything in particular,na,na,na,Spicy,na
Female,Pasta,350,2000,Pasta,Spicy,Tea or coffee
Male,Pasta,235,470,Mango,Spicy,khichuri
Male,Biriyani,200,200,winter,Sweet,Khichuri
Male,Biriyani,150,300,kacchi,Sweet,khichuri
Male,Kacchi Biriyani,100/=,10000/=,Biriyani,Spicy,Biriyani
Female,Fuchka,20taka,40taka,,Spicy,Khichuri-beef bhuna
Male,"Kachchi,jorda",150-200,1500-2000,,Spicy,Khichuri
Male,Kacchi,180,2000,"cold coffee, khichuri",Spicy,khichudi
Male,chicken fry,40-70 taka,300 taka,many kinds of curry,Spicy,hot tea
Female,burger,350,1000,burger,Spicy,khichuri
Male,Biriyani,200,400,Khichuri,Sweet,Khichuri
Male,anything that tastes good,400,2000,anything that tastes good,Spicy,khichuri
Male,Biriyani,220,880,Biriyani,Sweet,Biriyani
Male,Biriyani,150,1300,Fruits and khichuri,Spicy,khichuri and beef
Male,Biriyani,150,300,"Mango,Biriyani,Biriyani",Spicy,Biriyani
Male,burger,200,500,eating rice in any time,Spicy,khichuri
Female,"Burger, Biriyani",50,500,Burger,Spicy,Khichuri
Female,burger,150,300,khichuri,Sweet,khichuri
Male,Kacchi,200,400,,Sweet,Biriyani
Male,Kacchi,200-280,2000,Kacchi/Grill/Khichuri,Spicy,Khichuri
Female,Burger,250,1000,fruits/soup/khichuri,Spicy,Khichuri
Female,Burger,1000,200,cold drink/coffee/pickels,Sweet,Pickels
Female,french fries,100,800,"juice/coffee/khichuri,pickles",Spicy,"khichuri,pickles"
Female,Pizza,500,1000,Khichuri,Spicy,Khichuri
Female,Coffee,80,500,Coffee/Coffee/Coffee,Sweet,Coffee
Male,"Pizza, Birani",Around 300-400tk,Around 1500tk,Cold Coffee/Kacchi Birani/Khichuri,Spicy,Khichuri
Male,Milk,200,300,Pitha,Sweet,Pitha
Male,Biriyani,160,1000,Khichuri,Spicy,Khichuri
Male,"beef curry,burger,biriyani,pasta",200-300,1000,juice/cakes/khichuri,Spicy,khichuri
Male,Beef curry,120,240,Mango/Khola pitha/Khichuri,Spicy,Khichuri
Male,"Hilsha, Shrimps",500-1000,1000,"Fish, Vegetable, Beef.",Sweet,Fish.
Male,Tehari,150tk,1500tk,Mango/kacchi/ice-cream,Spicy,ice-cream
Female,Chicken,300,3000,lichi/pitha/chicken & khichuri,Sweet,khichui & chicken
Female,Biriyani,250,700,Biriyani,Spicy,Khichuri
Female,Pizza,250,700,mango/vegetable,Spicy,Beef
Female,Pasta,190,600,"Mango,Soup,Khichuri",Spicy,Khichuri
Male,Kacchi,160,640,Mango/Vapa Pitha/Khichuri,Spicy,Khichuri
Male,Tehari,120,600,Mango/biriyani/khichuri,Spicy,Khichuri
Female,Pasta,250 taka,500,Mango juice,Sweet,khichuri
Male,Kachchi Biriyani,220,2000,Mango / Biriyani/ Khichuri,Sweet,Khichuri
Male,Mutton Biriyani,140,500,mango/biriyani/khichuri,Spicy,khichuri
Male,kacchi,150,500,mango/ polao/kichuri,Sweet,kichuri
Male,fish,30,350,"icecream,khichuri,khichuri",Spicy,khichuri
Female,Pasta/Pizza,250,500,Juice/Rich food/Khichuri,Spicy,Khichuri
Male,chicken,100,1200,"mango, cake, hotchpotch",Spicy,Hotchpotch
Male,Burger,250,1000,Burger,Spicy,Khichuri
Male,"Kacchi,Burger",250,500,Coffee,Spicy,Khichuri
Female,pizza,500,1000,Khichuri,Spicy,Khichuri
Female,Fried Rice,300,1000,winter,Spicy,Khichuri
Male,"Nun-Grill,Chicken Fry",50,1500,Fruit Salad,Sweet,Khichuri-Mangsho
Female,Shawrma,Tk 100,2000,Fruits,Sweet,Fruits
Male,Briyani,180,500,Khicuri in rainy season,Sweet,Kichuri
Male,Burger,180,500,Khichuri,Spicy,Khichuri
Male,Chinese,300,1000,"fruits,vegetables,khichuri",Spicy,Khichuri
Male,Burger,200,1200,summer,Spicy,khichuri
Male,Kacchi,160,320,Kacchi,Spicy,Khichuri
Female,Italian,300,100,Momo,Spicy,fries
Male,Grill-Nun,120,360,Birani/Vegetable/Khichuri,Spicy,Khichuri
Male,"Kacchi , Kalavuna",150,450,"in Summer kacchi, In winter Pitha, in rainy season Khichuri",Spicy,Khichuri
Male,Pasta,220,1100,Burger,Spicy,Khichuri
Male,Biriyani,200,600,khichuri,Spicy,khichuri
Male,Pizza,600,2000,Winter,Spicy,Spicy foods
Female,coffee,200/250,1000,khichuri,Spicy,star kabab
Female,Kacchi,150,500,Faluda/Kacchi/Khichuri,Spicy,Khichuri
Female,Burger,60,180,Burger,Sweet,Khichuri
Male,Biriyani,150,1000,"Khichuri, Beef",Spicy,"Khichuri, beef"
Male,Beef,450,1500,Mango,Spicy,KHichudi
Male,Pasta,300,2000,Pasta,Spicy,Pasta
Male,Biriyani,150,400,Biriyani/Vegetables/Khichuri,Spicy,Khichuri
Male,Cheescake,Butler's Chocolate Cafe,1000,,Sweet,Khichudi
Female,Burger,200,600,,Spicy,Khichuri
Male,Biriani,200,1000,Biriani,Sweet,Khichori
Male,burger,200,500,none,Spicy,none
Male,Soup,150,300,Fruits,Sweet,Khichury
Male,Biriyani,200,200,,Sweet,Khichuri
Female,Pasta,300,300,Cold Drinks/Cheese Cake/Khichuri-kalabhuna,Spicy,Khichuri-Kala-bhuna
Male,Payes,200,200,Payes/Payes/Payes,Sweet,Payes
Female,pizza,300,300,mango,Sweet,green tea
Female,kacchi,180,200,,Spicy,Khichuri
Male,Kacchi,170,1000,kacchi,Sweet,vona khichuri
Female,waffle,250,1000,lichi /orange/khichuri,Spicy,khichuri
Male,Pizza,150-200,6000,"Mango,black berry,orange",Spicy,
Male,elish,400,2500,winter,Spicy,kichuri
